origin,destination,700,715,730,745,800,815,830,845
1,1,0.126686419,0.128116708,0.126448435,0.124463642,0.126843489,0.123273718,0.122559764,0.121607825
1,2,0.126686419,0.128116708,0.126448435,0.124463642,0.126843489,0.123273718,0.122559764,0.121607825
1,3,0.126686419,0.128116708,0.126448435,0.124463642,0.126843489,0.123273718,0.122559764,0.121607825
2,1,0.118316268,0.130261661,0.134527873,0.134243458,0.129124005,0.12116041,0.115472127,0.116894198
2,2,0.130533854,0.128797743,0.128363715,0.126627604,0.126627604,0.124457465,0.115342882,0.119249132
2,3,0.12450724,0.12627094,0.12690321,0.126924537,0.125765805,0.124207744,0.122377489,0.123043036
3,1,0.12450724,0.12627094,0.12690321,0.126924537,0.125765805,0.124207744,0.122377489,0.123043036
3,2,0.12039219,0.124582221,0.129181687,0.131591567,0.128549733,0.123284935,0.121097575,0.121320093
3,3,0.128339141,0.131436314,0.132210608,0.130274874,0.125629113,0.122144793,0.112853271,0.117111885
