origin,destination,700,715,730,745,800,815,830,845
1,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
3,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
1,2,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375
2,2,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
3,2,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
1,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2,3,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
3,3,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375
4,1,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
5,1,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375
6,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
4,2,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125
5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6,2,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
4,3,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5,3,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875
6,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7,1,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125
8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
7,2,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125
8,2,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
9,2,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
10,2,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125
7,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
9,3,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
10,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,4,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2,4,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
3,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,5,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
2,5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
3,5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1,6,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,6,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
6,4,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
4,5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
5,5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6,5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
4,6,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125
5,6,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375
6,6,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625
7,4,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625
8,4,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
9,4,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
10,4,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125
7,5,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
8,5,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375
9,5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
10,5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
7,6,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125
8,6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
9,6,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375
10,6,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
1,7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2,7,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375
3,7,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
1,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,8,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
3,8,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
1,9,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125
2,9,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2,10,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
3,10,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
4,7,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5,7,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125
6,7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
4,8,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
5,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
6,8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,9,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125
4,10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5,10,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
6,10,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
7,7,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125
8,7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9,7,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625
10,7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
7,8,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875
8,8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
9,8,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
10,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,9,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375
8,9,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
9,9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,9,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875
7,10,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
8,10,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
9,10,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
10,10,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625
